X,Y,OBJECTID,MODULENAME,CASENUMBER,PROJECTNAME,SPATIALTYPE,APPLY_DATE,COMPLETE_DATE,EXPIRE_DATE,STATUS,DESCRIPTION,CASENAME,WORKCLASS_NAME,AFFORDABLE_HOUSING
-118.1497636,34.02520252,53,PlanManagement,RPPL2016000413,,Address,2016/01/05 00:00:00+00,2016/02/08 00:00:00+00,,Approved,"LEGALIZE 60 SF ADDITION TO REAR UNIT AND LEGALIZE TWO PATIOS CONSISTING OF 165 SF AND 67 SF. !DO NOT REMOVE!RPPL 201600413525 & 527 S Eastmont Avenue, East Los Angeles, 90022 (APN 6341-017-020)?	Site Plan approved to legalize the following: Rear Dwelling Unit (527 S Eastmont Avenue) 每 36 square feet conversion of existing front porch into portion of Bedroom No. 2; 48 square feet entryway; 104 square feet addition to portion of living room and Bedroom No. 2; two unpermitted covered open patios consisting of 67 square feet and 165 square feet both attached to the front of the rear dwelling unit as depicted on the Plans. ?	The subject property is located in the East Los Angeles Community Standards District (※East LA CSD§).?	The interior of the rear dwelling unit (527 S Eastmont Avenue) shall consist of two bedrooms, one bathroom, living room and one kitchen.?	Maintain direct interior access between the existing rear dwelling unit (527 S Eastmont Avenue) and the legalized additions as shown on the floor plan. Shall be required to meet all Building & Safety requirements.?	Each existing dwelling unit shall contain only one kitchen.?	The total number of dwelling units existing on the subject property is two (2).?	Single-family residence shall have a roof constructed with wood-shake, shingle, asphalt composition, crushed rock or other similar roofing material in compliance with Title 26 (Building Code) of this code, except that reflective, glossy, polished and/or roll-type metal roofing is prohibited. ?	Single-family residence shall have an exterior siding of brick, wood, stucco, metal, concrete or other similar material, except that reflective, glossy, polished and/or roll-type metal siding is prohibited.  ?	The two legalized attached covered open patios shall maintain a minimum four-feet-wide side yard.?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	The accuracy of the property lines is the responsibility of the owner/applicant.?	No grading is proposed in conjunction with this project. This approval does not authorize any grading.?	This project shall comply with all requirements of the Green Building and Low-Impact Development (LID) ordinance to the satisfaction of the Los Angeles County Department of Public Works (※Public Works§).?	This project is exempt from the Drought-Tolerant Landscaping requirements since an existing single-family residence will remain on the property.?	Changes to this approval shall require additional Los Angeles County Department of Regional Planning review and fees, and may be subject to additional requirements of the Green Building Program.?	Obtain all required permits and approvals from Public Works prior to installation or construction.EXPIRES 02/08/18       !DO NOT REMOVE!",Referrals & Letters,Zoning Conformance Review,
-118.1497782,34.02515746,54,PlanManagement,RPPL2016000413,,Address,2016/01/05 00:00:00+00,2016/02/08 00:00:00+00,,Approved,"LEGALIZE 60 SF ADDITION TO REAR UNIT AND LEGALIZE TWO PATIOS CONSISTING OF 165 SF AND 67 SF. !DO NOT REMOVE!RPPL 201600413525 & 527 S Eastmont Avenue, East Los Angeles, 90022 (APN 6341-017-020)?	Site Plan approved to legalize the following: Rear Dwelling Unit (527 S Eastmont Avenue) 每 36 square feet conversion of existing front porch into portion of Bedroom No. 2; 48 square feet entryway; 104 square feet addition to portion of living room and Bedroom No. 2; two unpermitted covered open patios consisting of 67 square feet and 165 square feet both attached to the front of the rear dwelling unit as depicted on the Plans. ?	The subject property is located in the East Los Angeles Community Standards District (※East LA CSD§).?	The interior of the rear dwelling unit (527 S Eastmont Avenue) shall consist of two bedrooms, one bathroom, living room and one kitchen.?	Maintain direct interior access between the existing rear dwelling unit (527 S Eastmont Avenue) and the legalized additions as shown on the floor plan. Shall be required to meet all Building & Safety requirements.?	Each existing dwelling unit shall contain only one kitchen.?	The total number of dwelling units existing on the subject property is two (2).?	Single-family residence shall have a roof constructed with wood-shake, shingle, asphalt composition, crushed rock or other similar roofing material in compliance with Title 26 (Building Code) of this code, except that reflective, glossy, polished and/or roll-type metal roofing is prohibited. ?	Single-family residence shall have an exterior siding of brick, wood, stucco, metal, concrete or other similar material, except that reflective, glossy, polished and/or roll-type metal siding is prohibited.  ?	The two legalized attached covered open patios shall maintain a minimum four-feet-wide side yard.?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	The accuracy of the property lines is the responsibility of the owner/applicant.?	No grading is proposed in conjunction with this project. This approval does not authorize any grading.?	This project shall comply with all requirements of the Green Building and Low-Impact Development (LID) ordinance to the satisfaction of the Los Angeles County Department of Public Works (※Public Works§).?	This project is exempt from the Drought-Tolerant Landscaping requirements since an existing single-family residence will remain on the property.?	Changes to this approval shall require additional Los Angeles County Department of Regional Planning review and fees, and may be subject to additional requirements of the Green Building Program.?	Obtain all required permits and approvals from Public Works prior to installation or construction.EXPIRES 02/08/18       !DO NOT REMOVE!",Referrals & Letters,Zoning Conformance Review,
-117.9329726,33.99040916,55,PlanManagement,RPPL2016000418,,Address,2016/01/06 00:00:00+00,2016/03/08 00:00:00+00,,Approved,TI for a new Panda Express restaurant.,Permits & Reviews,Site Plan Review - Ministerial,
-118.5771583,34.04233762,56,PlanManagement,RPPL2016000631,,Address,2016/01/25 00:00:00+00,2016/02/22 00:00:00+00,,Approved,"Original: Remodel existing home, convert garage back into garageAmendment: Change planter area and landscape in rear yard, new decking around pool, install railroad tie and drainage for new landscape",Permits & Reviews,CDP - SMMLCP - Exempt,
-118.0506419,33.91718163,63,PlanManagement,RPPL2016000585,,Address,2016/01/20 00:00:00+00,2016/02/09 00:00:00+00,,Completed,Existing auto body repair and paint establishmentEXISTING AUTO BODY REPAIR AND PAINT ESTABLISHMENT. ALL WORK MUST BE CONDUCTED WITHIN AN ENCLOSED BUILDING. NO EXPANSION OR CHANGE IN USE PERMITTED WITHOUT PRIOR APPROVAL FROM DEPT. OF REGIONAL PLANNING. REFER TO PP 35517.,Referrals & Letters,Business License Referral,
-118.174565,34.01915076,65,PlanManagement,RPPL2016000642,,Address,2016/01/25 00:00:00+00,2016/01/28 00:00:00+00,,Completed,Secondhand Dealer,Referrals & Letters,Business License Referral,
-117.8992619,34.09239042,66,PlanManagement,RPPL2016000412,,Address,2016/01/05 00:00:00+00,2016/02/10 00:00:00+00,,Approved,"?	RPPL2016000412 17926 E. Edna Pl., Covina?	APN# 8432-034-005?	Approved for a 1083 square feet addition (2 linen closets, 2 closets, 2 walk-in closets, 3 bedrooms, 2 bathrooms, living room) to the existing single family residence. Also approved for interior remodeling and a new 400 square feet 2 car detached garage.?	If the existing exterior walls as depicted on the plans are substantially demolished or removed, the proposal will then be consider a new dwelling and would be subject to additional zoning review.?	Height approved for the addition is 12 feet 7 inches.?	Height approved for the detached garage is 12 feet 9 inches.?	Setbacks as shown on plans.?	This approval does not authorize any oak tree encroachments or removals, or any work that will result in oak tree encroachments or removals. Any oak tree encroachments or approvals will require an oak tree permit.?	The existing 1 car garage will be demolished as shown on the plans (highlighted in yellow).?	The garage must be used for vehicle parking only. ?	Must maintain the 26 feet backup/turning radius as shown on the plans (highlighted in green).?	This approval does not legalize any structures to be modified without building permits. Must obtain building permits from the building and safety office. ?	The accuracy of the property line is the responsibility of the owner/applicant.?	No grading has been proposed, reviewed and/or approved.?	Green Building standards must be implemented to the satisfaction of DPW.?	Changes to this approval require additional DRP review and fees.?	Approval expires 02/10/2018.DO NOT REMOVE",Referrals & Letters,Zoning Conformance Review,
-117.8901062,33.9956673,72,PlanManagement,RPPL2016000579,,Address,2016/01/20 00:00:00+00,2016/03/09 00:00:00+00,,Approved,"?	Plot plan RPPL2016000579 is approved for an LED internally  illuminated 17.8 sq. ft. channel letter wall sign with logo for Independent Financial Group.?	Proposed signage is consistent with the approved sign program (RPP 200800467) and the Rowland Heights CSD requirements. ?	Obtain permit from Building and Safety.",Permits & Reviews,Site Plan Review - Ministerial,
-118.3636143,33.90673698,74,PlanManagement,RPPL2016000411,,Address,2016/01/05 00:00:00+00,2016/03/31 00:00:00+00,,Approved,"RPPL20160004114866 WEST 137TH PLACEAPN 4147-010-004?	Approved for the construction 900 sq ft three-car garage and 579 sq ft pool for an existing single family residence.?	The existing two car garage and unpermitted covered patio will be removed.?	Maintain height and yard setbacks as indicated on the plans?	The new three car garage must be maintained accessible for the parking and storing of bikes and vehicles only. ?	No oak tree encroachments or removals are proposed or authorized.  ?	No grading is proposed or authorized.?	Comply with Green Building requirements as per the Department of Public Works Building and Safety.?	Obtain all approvals and permits necessary from the County of Los Angeles, including but not limited to the Department of Public Works Building and Safety. These must be obtained prior to expiration of DRP＊s approval.?	Changes to this approval require additional DRP review and fees and may be subject to additional requirements.Approved: March 31, 2016Expires: March 31, 2018    DO NOT REMOVE",Permits & Reviews,Site Plan Review - Ministerial,
-117.9762643,34.03364428,75,PlanManagement,RPPL2016000524,,Address,2016/01/13 00:00:00+00,2016/01/22 00:00:00+00,,Completed,Auto Body & Fender,Referrals & Letters,Business License Referral,
-118.2561715,33.96432667,77,PlanManagement,RPPL2016000639,,Address,2016/01/25 00:00:00+00,2016/02/08 00:00:00+00,,Completed,"Approved per RBUS 201400472.  Auto repair must be conducted within an enclosed building and excludes body and fender work, painting, and upholstering.SECOND HAND EALER",Referrals & Letters,Business License Referral,
-118.1562078,34.1889485,80,PlanManagement,RPPL2016000469,,Address,2016/01/11 00:00:00+00,2016/02/16 00:00:00+00,2018/02/16 00:00:00+00,Approved,"?	Plot plan approved for the remodeling of the interior space; for a new 131 sq. ft. patio and a new 256 sq. ft. addition to an existing single family residence with setbacks shown on plans.  Maintain all setbacks and height as shown on plan.  Plot Plan complies with the Altadena Community Standards District.?	No more than four bedrooms shall be maintained.?	Detached garage shall not be converted into a dwelling unit at any time and not to be used for commercial storage, unless approved by Regional Planning.?	The maximum gross structural area (GSA) or lot coverage shall not exceed (0.25 x net lot area) + 1,000 square feet.  The maximum is 2,625 sq. ft.  The proposed GSA is 1,218 sq. ft..  The proposed lot coverage is 1,714 sq. ft..  Any other additions shall require prior Dept. of Regional Planning (DRP) approval.?	Maintain direct interior access between the existing residence and the new addition as shown on the floor plan.?	Existing fencing and/or walls are not part of this approval.?	Single-family residence shall have a roof constructed with wood-shake, shingle, asphalt composition, crushed rock or other similar roofing material in compliance with Title 26 (Building Code) of this code, except that reflective, glossy, polished and/or roll-type metal roofing is prohibited.?	Single-family residence shall have an exterior siding of brick, wood, stucco, metal, concrete or other similar material, except that reflective, glossy, polished and/or roll-type metal siding is prohibited.  ?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	Green building and low impact development requirements may be applicable to the satisfaction of the Department of Public Works.?	Changes to this approval require additional DRP review and fees, and may be subject to additional requirements of the Green Building Program.?	Obtain all required approvals from the Department of Public Works, Building and Safety Division prior to installation, grading or construction.",Referrals & Letters,Zoning Conformance Review,
-117.8280021,34.61578539,82,PlanManagement,RPPL2016000601,,Address,2016/01/21 00:00:00+00,2016/01/29 00:00:00+00,,Completed,Approved for a grocery store/food establishment per zoning and RCUP 201200150.See CUP-201200150. Family Dollar #10626. Pre-packaged food and retail.  APN 3073-009-009 and 010.  ,Referrals & Letters,Business License Referral,
-118.0030749,34.04684018,84,PlanManagement,RPPL2016000451,,Address,2016/01/07 00:00:00+00,2016/06/15 00:00:00+00,,Approved,"264 sq.ft - 2 bed addition; laundry room relocation, and 160 sq. ft. patio Avc. Heights CSD.",Permits & Reviews,Site Plan Review - Ministerial,
-118.0030125,34.04689087,85,PlanManagement,RPPL2016000451,,Address,2016/01/07 00:00:00+00,2016/06/15 00:00:00+00,,Approved,"264 sq.ft - 2 bed addition; laundry room relocation, and 160 sq. ft. patio Avc. Heights CSD.",Permits & Reviews,Site Plan Review - Ministerial,
-118.6204372,34.45643665,87,PlanManagement,RPPL2016000463,,Address,2016/01/11 00:00:00+00,2016/01/11 00:00:00+00,,Approved,Registering: 1/9/2016 7am-1pm,Other,Yard Sale Registration,
-118.300481,33.94467008,89,PlanManagement,RPPL2016000590,,Address,2016/01/20 00:00:00+00,2016/01/26 00:00:00+00,,Completed,Approved per C-2 Zoning and previous business license referral approval on 7/16/2009.  Approved for take out only; no onsite seating or dining permitted.  No tenant improvements or new signage permitted without separate Site Plan approval.,Referrals & Letters,Business License Referral,
-118.1312136,34.18619206,94,PlanManagement,RPPL2016000589,,Address,2016/01/20 00:00:00+00,2016/03/10 00:00:00+00,,Approved,"?	Approved for a new 12 sq. ft. LED internally illuminated channel letter wall sign for Altadental.?	Signage meets applicable Zoning Code requirements.?	Obtain approval from the Los Angeles County Building & Safety.  ",Permits & Reviews,Site Plan Review - Ministerial,
-117.9762643,34.03364428,103,PlanManagement,RPPL2016000521,,Address,2016/01/13 00:00:00+00,2016/01/22 00:00:00+00,,Completed,Auto Body & Fender,Referrals & Letters,Business License Referral,
-118.0150664,34.10984754,104,PlanManagement,RPPL2016000407,,Address,2016/01/04 00:00:00+00,2016/11/02 00:00:00+00,,Approved,Bottle works at existing retail.,Referrals & Letters,Zoning Conformance Review,
-118.6034458,34.43061438,105,PlanManagement,RPPL2016000514,,Address,2016/01/13 00:00:00+00,,,Open,bank stabilization at Magic Mountain,Permits & Reviews,CUP,
-118.7066473,34.03897643,107,PlanManagement,RPPL2016000522,,Address,2016/01/13 00:00:00+00,2016/08/02 00:00:00+00,2031/08/02 00:00:00+00,Approved,CUP renewal for unmanned wtf located on the roof top of the Keck Science Building at Pepperdine University.A-1-1-DPZD: The MalibuSD: 3SA: WRick Kuo,Permits & Reviews,CUP,
-118.172666,34.04075448,109,PlanManagement,RPPL2016000456,,Address,2016/01/07 00:00:00+00,2018/02/12 00:00:00+00,,Expired,East LA Specific Plan --  Automotive Repair Garage to Loan Office interior remodel onlyCesar Chavez Transect ZoneAPN: 5234-011-036SD:1Zoning: Transect Zone C-CSA:EastCSD/TOD: East LA CSD Elsa M. Rodriguez ,Permits & Reviews,Substantial Conformance Review,
-117.7449839,34.12857639,110,PlanManagement,RPPL2016000541,,Address,2016/01/14 00:00:00+00,2016/08/09 00:00:00+00,,Recorded,LOT LINE ADJ -   (two lots) 8669-026-0448669-026-0348669-028-051,Permits & Reviews,Lot Line Adjustment,
-117.9215282,33.98524304,115,PlanManagement,RPPL2016000516,,Address,2016/01/13 00:00:00+00,2016/02/02 00:00:00+00,,Approved,"This Site Plan Review approves the following for the above referenced project: ?	RPP 201301105 approves the addition of 211 square feet to the first floor of an existing single family residence (2,650 square feet living area and 636 square feet 3-car garage).  The plan also approves an 84 square feet covered patio and 321 square feet balcony with trellis cover.Special Notes:?	The property is in an R-1-10,000 zone in the Rowland Heights Community Standards District.  The rear yard setback is 15 feet, the front yard setback is 20 feet, and the side yard setback is 5 feet.?	A minimum of 50% of the required front yard shall contain landscaping consisting of grass, shrubs, trees, and other similar plant materials.?	Each parking space must be covered and have the dimensions 8.5＊ in width and 18＊ in length. ?	This is not a building permit.?	Approvals from other County agencies may be needed before the issuance of a Building Permit.  ?	No oaks trees are indicated to be present on the property.  This approval does not grant any impact on oak trees.?	No grading presented, no grading approved.  ?	This project must comply with the Green Building Program to the satisfaction of the Department of Public Works.This approval is found to be in substantial compliance with the Los Angeles County Title 22 code requirements.   Changes to this approval require additional DRP review and fees. Obtain any necessary approvals from Los Angeles County Department of Public Works.",Permits & Reviews,Site Plan Review - Ministerial,
-118.2484043,34.2419234,119,PlanManagement,RPPL2016000474,,Address,2016/01/11 00:00:00+00,2016/02/16 00:00:00+00,2018/02/16 00:00:00+00,Approved,"?	Approved for a new 6 foot high retaining wall used to protect a cut topped by a 1 foot high block wall located at the side of the property as shown on the plans.?	Grading proposed is 3.8 cubic yards of cut to be balanced on site.?	This doesn＊t approve any existing fencing, walls or retaining walls.?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	The accuracy of the property line is the responsibility of the owner/applicant.?	Green building and Low Impact Development requirements may be applicable to the satisfaction of the Department of Public Works.  ?	Changes to this approval require additional DRP review and fees, and may be subject to additional requirements of the Green Building Program.?	This approval does not legalize any existing structures.?	Obtain all required approvals from the Department of Public Works prior to installation, grading or construction.",Referrals & Letters,Zoning Conformance Review,
-118.1140365,34.17837913,124,PlanManagement,RPPL2016000654,,Address,2016/01/26 00:00:00+00,2016/07/19 00:00:00+00,,Approved,new 2 story sfr w/ 2 car detached garage,Permits & Reviews,Site Plan Review - Ministerial,
-118.4815174,34.65309756,125,PlanManagement,RPPL2016000653,,Address,2016/01/26 00:00:00+00,,,Denied,2 prefabricated 50'X 72' modular buildings for staff dormitory at County owned probation camp. Camp Munz- Mendehall GroundsA-2-2.5Elizabeth Lake - Hughes CSDPublic/RL10Elsa M. Rodriguez,Permits & Reviews,Site Plan Review - Ministerial,
-118.4815579,34.6509913,126,PlanManagement,RPPL2016000653,,Address,2016/01/26 00:00:00+00,,,Denied,2 prefabricated 50'X 72' modular buildings for staff dormitory at County owned probation camp. Camp Munz- Mendehall GroundsA-2-2.5Elizabeth Lake - Hughes CSDPublic/RL10Elsa M. Rodriguez,Permits & Reviews,Site Plan Review - Ministerial,
-118.6902529,34.1130422,131,PlanManagement,RPPL2016000426,,Address,2016/01/06 00:00:00+00,2016/02/01 00:00:00+00,,Approved,"Vehicular gate and entry monument associated with 6 new SFR.Project No:  RPPL 2016000426		Approved by William ChenApproval Date: 01/19/2016EXPIRES: 01/19/2018Address:    1985 Vallecito Dr., Hacienda Heights	APN:  4455-014-036	Zone: A-1-10	CSD: Hacienda HeightsCountywide Land Use Policy:	N10 每 Mountain Lands 10 (1 du/10 acre max)Fire Hazard Area:	Very HighRural Outdoor Lighting District:	YesThis Plot Plan approves the following for the above referenced project:?	RPPL 2016000426 approves a vehicular gate and entry monument at Country Ridge Rd., a private road.	Special Notes:?	Monument signage must adhere to community identification sign standards.?	Accessory buildings and structures exempt from Significant Ecological Areas regulations.?	Sign lighting must comply with rural outdoor lighting development standards.?	Approvals from other County agencies may be needed before the issuance of a Building Permit.  ?	No oaks trees are indicated to be present on the property.  This approval does not grant any impact on oak trees.  ?	No grading is proposed for this project. This approval does not authorize grading.?	This is not a building permit.?	This project must comply with the Green Building Program to the satisfaction of the Department of Public Works.This approval is found to be in substantial compliance with the Los Angeles County Title 22 code requirements.   Changes to this approval require additional DRP review and fees. Obtain any necessary approvals from Los Angeles County Department of Public Works. Approvals from other County Departments may be needed prior to the issuance of a Building Permit.",Permits & Reviews,Site Plan Review - Ministerial,
-118.6902978,34.11371561,132,PlanManagement,RPPL2016000426,,Address,2016/01/06 00:00:00+00,2016/02/01 00:00:00+00,,Approved,"Vehicular gate and entry monument associated with 6 new SFR.Project No:  RPPL 2016000426		Approved by William ChenApproval Date: 01/19/2016EXPIRES: 01/19/2018Address:    1985 Vallecito Dr., Hacienda Heights	APN:  4455-014-036	Zone: A-1-10	CSD: Hacienda HeightsCountywide Land Use Policy:	N10 每 Mountain Lands 10 (1 du/10 acre max)Fire Hazard Area:	Very HighRural Outdoor Lighting District:	YesThis Plot Plan approves the following for the above referenced project:?	RPPL 2016000426 approves a vehicular gate and entry monument at Country Ridge Rd., a private road.	Special Notes:?	Monument signage must adhere to community identification sign standards.?	Accessory buildings and structures exempt from Significant Ecological Areas regulations.?	Sign lighting must comply with rural outdoor lighting development standards.?	Approvals from other County agencies may be needed before the issuance of a Building Permit.  ?	No oaks trees are indicated to be present on the property.  This approval does not grant any impact on oak trees.  ?	No grading is proposed for this project. This approval does not authorize grading.?	This is not a building permit.?	This project must comply with the Green Building Program to the satisfaction of the Department of Public Works.This approval is found to be in substantial compliance with the Los Angeles County Title 22 code requirements.   Changes to this approval require additional DRP review and fees. Obtain any necessary approvals from Los Angeles County Department of Public Works. Approvals from other County Departments may be needed prior to the issuance of a Building Permit.",Permits & Reviews,Site Plan Review - Ministerial,
